IDconv,ID,adj.P.Val,P.Value,t,B,logFC,ensembl_gene_id,hgnc_symbol
187,187_at,0.0756,0.00721,-2.9408832,-2.659175,-1.3694925,ENSG00000134817,APLNR
189,189_at,0.0542,0.00429,3.1592634,-2.180869,1.4791292,ENSG00000172482,AGXT
190,190_at,0.982,0.945,-0.0703387,-6.36899,-0.0145992,ENSG00000169297,NR0B1
191,191_at,0.933,0.806,0.2478328,-6.340442,0.0700948,ENSG00000101444,AHCY
196,196_at,0.0113,3.4e-4,-4.1842384,0.196761,-0.7625728,ENSG00000106546,AHR
197,197_at,0.941,0.83,0.21759,-6.347551,0.0422745,ENSG00000145192,AHSG
199,199_at,0.0523,0.00404,3.1845859,-2.124528,0.5323334,ENSG00000237727,AIF1
199,199_at,0.0523,0.00404,3.1845859,-2.124528,0.5323334,ENSG00000235588,AIF1
199,199_at,0.0523,0.00404,3.1845859,-2.124528,0.5323334,ENSG00000206428,AIF1
199,199_at,0.0523,0.00404,3.1845859,-2.124528,0.5323334,ENSG00000204472,AIF1
199,199_at,0.0523,0.00404,3.1845859,-2.124528,0.5323334,ENSG00000234836,AIF1
199,199_at,0.0523,0.00404,3.1845859,-2.124528,0.5323334,ENSG00000235985,AIF1
202,202_at,0.933,0.808,-0.2452607,-6.341082,-0.1139012,ENSG00000112297,CRYBG1
203,203_at,0.0188,7.68e-4,-3.8595397,-0.572636,-0.788175,ENSG00000106992,AK1
204,204_at,0.0806,0.00804,2.8946585,-2.758523,0.5028618,ENSG00000004455,AK2
205,205_at,0.236,0.0466,2.1000191,-4.329886,0.5822276,ENSG00000162433,AK4
207,207_at,0.196,0.0335,-2.2578039,-4.041767,-0.6668516,ENSG00000142208,AKT1
208,208_at,0.645,0.317,-1.0228714,-5.853554,-0.1870859,ENSG00000105221,AKT2
210,210_at,0.776,0.492,0.6977062,-6.127636,0.1733885,ENSG00000148218,ALAD
211,211_at,0.34,0.0881,-1.7791579,-4.870518,-0.3743887,ENSG00000023330,ALAS1
212,212_at,0.542,0.217,-1.26729,-5.585666,-0.2775747,ENSG00000158578,ALAS2
213,213_at,0.00101,5.73e-6,5.8143719,4.069996,3.4748039,ENSG00000163631,ALB
214,214_at,0.378,0.107,-1.6754305,-5.030981,-0.3300196,ENSG00000170017,ALCAM
215,215_at,0.177,0.0281,-2.3391128,-3.888129,-0.5458667,ENSG00000101986,ABCD1
216,216_at,0.0595,0.00495,3.1000353,-2.31197,0.9190998,ENSG00000165092,ALDH1A1
217,217_at,0.0946,0.0103,2.7861667,-2.988818,0.7550465,ENSG00000111275,ALDH2
218,218_at,0.926,0.79,0.2691425,-6.334881,0.0470648,ENSG00000108602,ALDH3A1
219,219_at,0.789,0.516,-0.6589221,-6.153748,-0.2373684,ENSG00000137124,ALDH1B1
220,220_at,0.453,0.151,-1.4852393,-5.30528,-0.477242,ENSG00000184254,ALDH1A3
221,221_at,0.989,0.968,0.0408289,-6.37065,0.0113168,ENSG00000006534,ALDH3B1
222,222_at,0.928,0.795,0.2625675,-6.336645,0.0587629,ENSG00000132746,ALDH3B2
223,223_at,0.394,0.116,1.6306107,-5.097992,0.2713727,ENSG00000143149,ALDH9A1
224,224_at,0.0344,0.00201,3.4710318,-1.476418,1.0158138,ENSG00000072210,ALDH3A2
225,225_at,0.913,0.76,0.3088295,-6.323311,0.0579973,ENSG00000173208,ABCD2
226,226_at,0.0226,0.00105,-3.7327973,-0.869963,-0.47572,ENSG00000149925,ALDOA
229,229_at,0.0356,0.00215,3.4439512,-1.538459,1.9251833,ENSG00000136872,ALDOB
230,230_at,0.851,0.624,-0.4961066,-6.24756,-0.1154032,ENSG00000109107,ALDOC
231,231_at,0.51,0.192,-1.3420755,-5.493713,-0.2732734,ENSG00000085662,AKR1B1
238,238_at,0.939,0.824,-0.2243605,-6.346039,-0.0381482,ENSG00000171094,ALK
239,239_at,0.741,0.436,0.7916819,-6.058458,0.1696977,ENSG00000108839,ALOX12
240,240_at,0.191,0.032,-2.2786238,-4.00275,-0.8452079,ENSG00000012779,ALOX5
240,240_at,0.191,0.032,-2.2786238,-4.00275,-0.8452079,ENSG00000275565,ALOX5
241,241_at,0.735,0.428,-0.806867,-6.046502,-0.3602467,ENSG00000132965,ALOX5AP
242,242_at,0.739,0.434,0.795818,-6.055223,0.1264161,ENSG00000179477,ALOX12B
245,245_at,0.972,0.916,-0.1062264,-6.365783,-0.0146013,ENSG00000262943,ALOX12P2
246,246_at,0.901,0.734,-0.3442322,-6.311661,-0.0672958,ENSG00000161905,ALOX15
247,247_at,0.169,0.0258,-2.3795639,-3.810456,-0.4963234,ENSG00000179593,ALOX15B
248,248_at,0.372,0.104,1.6912948,-5.006922,0.3758962,ENSG00000163295,ALPI
249,249_at,0.00997,2.69e-4,4.2774362,0.419033,1.8475125,ENSG00000162551,ALPL
250,250_at,0.989,0.966,0.0436625,-6.370529,0.0148243,ENSG00000163283,ALPP
251,251_at,0.985,0.954,-0.0577156,-6.369808,-0.0169521,ENSG00000163286,ALPG
257,257_at,0.97,0.912,-0.1117887,-6.365169,-0.0285593,ENSG00000156150,ALX3
258,258_at,0.805,0.541,-0.6195571,-6.17878,-0.1157076,ENSG00000178522,AMBN
259,259_at,0.253,0.0526,2.0408084,-4.434394,0.6423027,ENSG00000106927,AMBP
262,262_at,0.811,0.552,-0.6033167,-6.188673,-0.1190365,ENSG00000123505,AMD1
265,265_at,0.752,0.454,0.7608625,-6.08206,0.2212701,ENSG00000125363,AMELX
266,266_at,0.618,0.286,1.0911693,-5.78386,0.2500346,ENSG00000099721,AMELY
267,267_at,0.88,0.686,0.4091959,-6.287036,0.0694929,ENSG00000159461,AMFR
268,268_at,0.788,0.514,0.6623828,-6.151476,0.1472514,ENSG00000104899,AMH
269,269_at,0.933,0.805,-0.2491672,-6.340107,-0.0448384,ENSG00000135409,AMHR2
270,270_at,0.32,0.0788,-1.8370464,-4.777799,-0.3768177,ENSG00000116748,AMPD1
271,271_at,0.518,0.199,-1.3229645,-5.517642,-0.3369947,ENSG00000116337,AMPD2
272,272_at,0.266,0.0573,-1.9984577,-4.507876,-0.5275022,ENSG00000133805,AMPD3
273,273_at,0.487,0.176,-1.3940787,-5.427123,-0.3988278,ENSG00000078053,AMPH
274,274_at,0.56,0.233,1.2252995,-5.635288,0.3094533,ENSG00000136717,BIN1
275,275_at,0.0537,0.00423,3.1655247,-2.166954,0.9861818,ENSG00000145020,AMT
279,279_at,0.961,0.887,0.1433673,-6.361093,0.052718,ENSG00000243480,AMY2A
283,283_at,0.219,0.0408,2.1638328,-4.215009,0.8389748,ENSG00000214274,ANG
284,284_at,0.136,0.0181,2.5393698,-3.496011,0.7382119,ENSG00000154188,ANGPT1
285,285_at,0.994,0.98,-0.0252421,-6.371171,-0.0127654,ENSG00000091879,ANGPT2
286,286_at,0.307,0.0729,-1.8772261,-4.712151,-0.3794209,ENSG00000029534,ANK1
287,287_at,0.024,0.00114,3.7019929,-0.941901,1.1504143,ENSG00000145362,ANK2
288,288_at,0.00869,2.09e-4,4.3774443,0.657996,1.2259819,ENSG00000151150,ANK3
290,290_at,0.169,0.0258,2.3799366,-3.809736,0.9851889,ENSG00000166825,ANPEP
291,291_at,0.586,0.256,-1.1633035,-5.70586,-0.251723,ENSG00000151729,SLC25A4
292,292_at,0.643,0.315,1.0266191,-5.849836,0.1866059,ENSG00000005022,SLC25A5
293,293_at,0.08,0.00792,-2.9008369,-2.745285,-0.5257575,ENSG00000169100,SLC25A6
301,301_at,0.0045,6.96e-5,-4.8124518,1.69943,-1.0710329,ENSG00000135046,ANXA1
302,302_at,0.275,0.0605,-1.9715102,-4.55407,-0.5338242,ENSG00000182718,ANXA2
303,303_at,0.969,0.909,0.1156075,-6.36473,0.025264000000000002,NA,NA
304,304_at,0.725,0.414,-0.8318251,-6.026386,-0.113698,NA,NA
305,305_at,0.851,0.624,0.4960308,-6.247598,0.1135307,NA,NA
306,306_at,0.913,0.76,0.3093158,-6.323159,0.1399886,ENSG00000138772,ANXA3
307,307_at,0.694,0.373,-0.9071372,-5.962205,-0.1910299,ENSG00000196975,ANXA4
308,308_at,0.0852,0.00872,-2.8597877,-2.832993,-0.4946032,ENSG00000164111,ANXA5
309,309_at,0.0636,0.00549,-3.0559587,-2.40889,-0.6970667,ENSG00000197043,ANXA6
310,310_at,0.531,0.209,1.2926744,-5.554964,0.1702017,ENSG00000138279,ANXA7
311,311_at,0.0109,3.09e-4,-4.2219471,0.286638,-0.7058379,ENSG00000122359,ANXA11
312,312_at,0.211,0.038,2.1975411,-4.153413,0.7928224,ENSG00000104537,ANXA13
313,313_at,0.0695,0.00632,-2.9970327,-2.537565,-1.2910118,ENSG00000136250,AOAH
314,314_at,0.937,0.817,-0.2342096,-6.343758,-0.0541815,ENSG00000131480,AOC2
316,316_at,0.16,0.0236,2.4205952,-3.730856,1.2744577,ENSG00000138356,AOX1
317,317_at,0.56,0.232,-1.2254218,-5.635146,-0.2535302,ENSG00000120868,APAF1
318,318_at,0.85,0.62,0.5018815,-6.244674,0.1230471,ENSG00000164978,NUDT2
319,319_at,0.999,0.995,-0.0059586,-6.371476,-0.0012816,ENSG00000175336,APOF
320,320_at,0.327,0.0822,-1.8152535,-4.812965,-0.4176619,ENSG00000107282,APBA1
320,320_at,0.327,0.0822,-1.8152535,-4.812965,-0.4176619,ENSG00000276497,APBA1
321,321_at,0.437,0.141,-1.5229687,-5.252989,-0.3318022,ENSG00000276495,APBA2
321,321_at,0.437,0.141,-1.5229687,-5.252989,-0.3318022,ENSG00000034053,APBA2
322,322_at,0.35,0.0929,-1.751371,-4.914227,-0.4397633,ENSG00000166313,APBB1
323,323_at,0.994,0.982,-0.0230849,-6.371224,-0.0039415,ENSG00000163697,APBB2
324,324_at,0.867,0.657,0.4494171,-6.269693,0.0772447,ENSG00000134982,APC
325,325_at,0.975,0.925,-0.09566,-6.366862,-0.0186416,ENSG00000132703,APCS
326,326_at,0.992,0.975,0.0322475,-6.370968,0.0061663,ENSG00000160224,AIRE
327,327_at,0.33,0.0832,-1.8090152,-4.822974,-0.4427987,ENSG00000164062,APEH
328,328_at,0.539,0.215,-1.2737516,-5.577901,-0.2196057,ENSG00000100823,APEX1
329,329_at,0.161,0.0239,2.4140245,-3.743657,0.4503359,ENSG00000110330,BIRC2
330,330_at,0.539,0.215,1.2735924,-5.578093,0.3928612,ENSG00000023445,BIRC3
331,331_at,0.762,0.47,-0.7338014,-6.10205,-0.1746835,ENSG00000101966,XIAP
332,332_at,0.0712,0.00657,-2.9806133,-2.57323,-1.0018891,ENSG00000089685,BIRC5
333,333_at,0.00709,1.48e-4,-4.5122442,0.980575,-1.1111584,ENSG00000105290,APLP1
334,334_at,0.964,0.896,-0.1324256,-6.36262,-0.0187967,ENSG00000084234,APLP2
335,335_at,0.923,0.78,0.2831356,-6.330982,0.1041185,ENSG00000118137,APOA1
336,336_at,0.911,0.756,-0.3148476,-6.321419,-0.1002134,ENSG00000158874,APOA2
